;strain_1;strain_10;strain_11;strain_12;strain_13;strain_14;strain_15;strain_16;strain_17;strain_18;strain_19;strain_2;strain_20;strain_21;strain_22;strain_23;strain_24;strain_25;strain_26;strain_27;strain_28;strain_29;strain_3;strain_30;strain_31;strain_32;strain_33;strain_34;strain_35;strain_36;strain_37;strain_38;strain_39;strain_4;strain_40;strain_41;strain_42;strain_43;strain_44;strain_45;strain_46;strain_47;strain_48;strain_49;strain_5;strain_50;strain_51;strain_52;strain_53;strain_54;strain_55;strain_56;strain_57;strain_58;strain_6;strain_7;strain_8;strain_9
strain_41;0.454898;0.415026;0.400205;0.392296;0.404167;0.401932;0.383512;0.322841;0.39032;0.335433;0.397388;0.463008;0.380761;0.405559;0.580347;0.179505;0.656438;0.294849;0.293382;0.406569;0.582046;0.298782;0.459891;0.607584;0.394064;0.402286;0.30945;0.458096;0.605129;0.0617606;0.52884;0.28591;0.548994;0.436415;0.00311947;;;;;;;;;;;;;;;;;;;;;;;
strain_42;0.578289;0.616141;0.648733;0.662476;0.700277;0.801392;0.639088;0.742474;0.658433;0.665837;0.582003;0.571284;0.65922;0.513436;0.303584;0.703695;0.272225;0.686968;0.687798;0.747451;0.347086;0.663936;0.569906;0.30047;0.773302;0.719518;0.649524;0.722552;0.243903;0.703956;0.503257;0.685976;0.149486;0.581296;0.698682;0.705507;;;;;;;;;;;;;;;;;;;;;;
strain_43;0.506243;0.520987;0.450697;0.444748;0.444009;0.442145;0.458785;0.44755;0.503124;0.468874;0.39204;0.536837;0.499418;0.381572;0.596358;0.341793;0.669229;0.304467;0.30262;0.539109;0.643464;0.257777;0.533623;0.639689;0.464601;0.344712;0.261358;0.409289;0.677452;0.349134;0.604863;0.0755404;0.687787;0.51582;0.275175;0.266766;0.713086;;;;;;;;;;;;;;;;;;;;;
strain_44;0.518594;0.505159;0.451159;0.448772;0.43228;0.43005;0.43829;0.431325;0.484342;0.44118;0.460068;0.529973;0.473239;0.407184;0.612715;0.298103;0.688131;0.308452;0.306569;0.527077;0.60596;0.21451;0.526204;0.602036;0.420605;0.326401;0.221521;0.49327;0.664339;0.318273;0.628272;0.193107;0.677961;0.502808;0.261256;0.218952;0.730049;0.119196;;;;;;;;;;;;;;;;;;;;
strain_45;0.524943;0.534281;0.46327;0.456455;0.454843;0.452625;0.466856;0.454618;0.507904;0.465988;0.410955;0.553365;0.496642;0.39913;0.612791;0.338804;0.67327;0.3011;0.299285;0.535864;0.647442;0.254832;0.55004;0.643372;0.463437;0.343372;0.260047;0.408051;0.679649;0.34641;0.605997;0.0742891;0.689511;0.532314;0.273678;0.265251;0.707768;0.000689242;0.113783;;;;;;;;;;;;;;;;;;;
strain_46;0.625134;0.592687;0.604415;0.534323;0.675775;0.674164;0.554593;0.622756;0.544118;0.550669;0.508569;0.605734;0.582434;0.506832;0.134646;0.538897;0.0955843;0.463676;0.463376;0.60715;0.118065;0.535375;0.603581;0.100064;0.685644;0.566225;0.56557;0.683139;0.0977624;0.606561;0.440065;0.627539;0.123312;0.653931;0.60903;0.629876;0.132859;0.671302;0.687504;0.668619;;;;;;;;;;;;;;;;;;
strain_47;0.656317;0.589156;0.594982;0.540094;0.840714;0.838496;0.545615;0.75602;0.676949;0.606855;0.515862;0.626812;0.715981;0.61601;0.239123;0.654393;0.200881;0.520172;0.519097;0.748701;0.261737;0.64476;0.624332;0.243458;0.812272;0.725318;0.656224;0.72869;0.196938;0.615979;0.550543;0.78686;0.237202;0.64034;0.644064;0.642644;0.210116;0.681638;0.711649;0.679336;0.231571;;;;;;;;;;;;;;;;;
strain_48;0.45955;0.426502;0.421386;0.437927;0.435596;0.4331;0.411232;0.434896;0.42445;0.391387;0.352351;0.452745;0.41217;0.410932;0.522697;0.26376;0.579149;0.0610625;0.0597348;0.368066;0.62272;0.174749;0.449116;0.640391;0.3514;0.370069;0.159779;0.442724;0.527875;0.273456;0.520223;0.156717;0.52845;0.445779;0.247927;0.235342;0.587108;0.146122;0.201662;0.145247;0.564715;0.558;;;;;;;;;;;;;;;;
strain_49;0.547157;0.467929;0.425724;0.460251;0.458018;0.455206;0.445015;0.380971;0.320904;0.390224;0.374325;0.51924;0.309173;0.485226;0.61757;0.153424;0.680965;0.28628;0.283798;0.421344;0.704856;0.296341;0.516561;0.703908;0.410981;0.388549;0.31398;0.428357;0.698836;0.038005;0.484488;0.289706;0.526378;0.494242;0.0179463;0.0143335;0.639189;0.279575;0.245162;0.271429;0.642709;0.614563;0.228123;;;;;;;;;;;;;;;
strain_5;0.0248046;0.0380944;0.108357;0.09291;0.437586;0.450487;0.0541194;0.408413;0.425407;0.0482695;0.701102;0.0247194;0.437121;0.65511;0.701866;0.573432;0.727454;0.567639;0.566715;0.36043;0.866165;0.646347;0.0297864;0.651705;0.508002;0.526863;0.503426;0.472659;0.547064;0.444755;0.59795;0.582669;0.713845;0.0456939;0.362028;0.412189;0.592514;0.526845;0.53506;0.542259;0.613885;0.627706;0.468728;0.464482;;;;;;;;;;;;;;
