;strain_1;strain_10;strain_11;strain_12;strain_13;strain_14;strain_15;strain_16;strain_17;strain_18;strain_19;strain_2;strain_20;strain_21;strain_22;strain_23;strain_24;strain_25;strain_26;strain_27;strain_28;strain_29;strain_3;strain_30;strain_31;strain_32;strain_33;strain_34;strain_35;strain_36;strain_37;strain_38;strain_39;strain_4;strain_40;strain_41;strain_42;strain_43;strain_44;strain_45;strain_46;strain_47;strain_48;strain_49;strain_5;strain_50;strain_51;strain_52;strain_53;strain_54;strain_55;strain_56;strain_57;strain_58;strain_59;strain_6;strain_60;strain_61;strain_7;strain_8;strain_9
strain_46;0.846488;0.896716;0.146753;0.876709;0.879327;0.88686;0.892215;0.895639;0.892782;0.914095;0.1193;0.833437;0.87904;0.0972582;0.892874;0.0650141;0.0838544;0.874962;0.0646612;0.929974;0.816055;0.0582058;0.810422;0.93422;0.0525051;0.956989;0.964228;0.970483;0.972904;0.101383;0.819963;0.00975684;0.0989716;0.833158;0.106895;0.786387;0.935017;0.000213727;0.766519;0.736701;;;;;;;;;;;;;;;;;;;;;
strain_47;0.449581;0.504581;0.994404;0.350649;0.336656;0.335723;0.334425;0.350186;0.317661;0.517089;0.956069;0.419453;0.319739;0.95451;0.324932;0.992508;0.999525;0.286056;1.03962;0.287315;0.190032;0.983322;0.420294;0.283796;0.960652;0.274341;0.268081;0.245191;0.394728;0.902849;0.207886;1.00189;0.948195;0.391601;1.01634;0.26117;0.624761;1.00245;0.0655354;0.521652;0.982684;;;;;;;;;;;;;;;;;;;;
strain_48;0.852297;0.900347;0.14416;0.8804;0.882932;0.890586;0.902123;0.906956;0.908199;0.922221;0.118259;0.839303;0.881364;0.0947701;0.896884;0.0633258;0.0829774;0.877511;0.0639559;0.934527;0.836255;0.0609342;0.816267;0.938478;0.0550281;0.971964;0.977966;0.981862;0.984467;0.104454;0.823529;0.0122242;0.0967928;0.839001;0.109018;0.797424;0.931598;0.00685479;0.771267;0.731081;0.00382718;0.98544;;;;;;;;;;;;;;;;;;;
strain_49;0.509368;0.54975;1.00298;0.404025;0.392452;0.388044;0.382763;0.384168;0.36852;0.60326;0.920628;0.504002;0.326635;0.919001;0.329834;0.94835;0.96497;0.315157;0.932761;0.323066;0.224951;0.953036;0.517644;0.291356;0.904272;0.28198;0.275092;0.252507;0.388274;0.712497;0.161269;0.944799;0.907851;0.488086;0.698396;0.122588;0.487294;0.950136;0.168132;0.509441;0.953166;0.126062;0.953924;;;;;;;;;;;;;;;;;;
strain_5;0.0363915;0.0294757;0.811808;0.0458637;0.0471393;0.0503809;0.0590668;0.0713528;0.0700409;0.0897139;0.792685;0.033493;0.135743;0.80291;0.1374;0.806179;0.815199;0.147043;0.80947;0.192776;0.366029;0.809381;0.0189984;0.195286;0.804466;0.226524;0.246705;0.218248;0.299765;0.879574;0.447905;0.829353;0.906009;0.0272222;0.909125;0.480764;0.352926;0.843547;0.470717;0.895519;0.825121;0.40512;0.830905;0.477333;;;;;;;;;;;;;;;;;
strain_50;0.734143;0.694731;0.642805;0.733306;0.720317;0.719756;0.71911;0.716411;0.717469;0.689439;0.607674;0.71708;0.674832;0.597979;0.682663;0.615355;0.610136;0.630403;0.61395;0.885148;0.713471;0.558978;0.708976;0.85229;0.560294;0.812736;0.838671;0.84033;0.573002;0.417198;0.648324;0.566834;0.414206;0.695709;0.384977;0.685661;0.57468;0.538311;0.669284;0.295;0.554851;0.682094;0.549097;0.667209;0.696406;;;;;;;;;;;;;;;;
strain_51;0.598039;0.587927;0.92219;0.483698;0.468586;0.467664;0.4664;0.487143;0.449933;0.537864;0.937815;0.566647;0.456993;0.900041;0.468122;0.901362;0.911886;0.424757;0.898851;0.438696;0.280096;0.916965;0.54812;0.416075;0.857113;0.402203;0.397749;0.372135;0.550994;0.885246;0.239425;0.973376;0.951865;0.519192;0.88748;0.16258;0.401337;0.976081;0.0979537;0.477225;0.944566;0.129092;1.00097;0.12836;0.521016;0.721658;;;;;;;;;;;;;;;
strain_52;0.860497;1.06069;0.121631;0.911172;0.91812;0.91722;0.915993;0.926304;0.927293;1.04971;0.121132;0.852996;0.869701;0.0918694;0.86057;0.0673441;0.0755507;0.833383;0.0713889;0.931559;0.832829;0.0809631;0.807849;0.874388;0.0732987;0.949196;0.870322;0.977935;1.01133;0.160572;0.852272;0.0221152;0.146652;0.844175;0.172546;0.788852;0.97681;0.00878029;0.781509;0.747445;0.00343007;1.03651;0.00136397;0.99674;0.831753;0.54962;1.02123;;;;;;;;;;;;;;
strain_53;0.455603;0.432965;0.925058;0.361041;0.346427;0.345288;0.343512;0.351114;0.327805;0.479557;0.865714;0.450422;0.326597;0.884011;0.330584;0.943811;0.898052;0.29209;0.871576;0.30282;0.170532;0.899573;0.468412;0.298798;0.85159;0.288191;0.281985;0.258762;0.420076;0.858988;0.131668;0.947075;0.867579;0.442087;0.894534;0.0571634;0.482086;0.949663;0.222312;0.520369;1.00165;0.24009;1.00153;0.146448;0.436084;0.759078;0.112347;1.03291;;;;;;;;;;;;;
strain_54;0.419053;0.432541;0.998514;0.326266;0.312374;0.311448;0.310171;0.328106;0.293897;0.447323;0.968924;0.413864;0.269925;0.942883;0.276554;0.991491;0.980571;0.260603;1.00015;0.266579;0.158674;1.00524;0.432093;0.233972;1.0178;0.220355;0.215855;0.190778;0.34004;0.954783;0.142764;1.03455;0.940141;0.406349;0.969504;0.193096;0.579441;1.03695;0.166376;0.470309;1.04898;0.131732;1.04887;0.143875;0.405919;0.635949;0.230844;1.079;0.175759;;;;;;;;;;;;
strain_55;0.972547;0.975408;0.280709;0.929923;0.936868;0.936307;0.935661;0.947117;0.93402;0.968938;0.292181;0.965189;0.891524;0.261457;0.899473;0.258867;0.245495;0.865108;0.254795;0.901707;0.717483;0.261965;0.919888;0.874588;0.232884;0.814032;0.845794;0.829891;0.858046;0.0675428;0.727446;0.196333;0.0765251;0.956327;0.0620566;0.720456;0.880223;0.181908;0.923558;0.634821;0.176002;0.987795;0.171859;0.954587;0.903686;0.364971;0.937386;0.169065;1.00031;0.890988;;;;;;;;;;;
strain_56;0.32795;0.299839;0.641584;0.274999;0.273514;0.272694;0.378778;0.419102;0.376322;0.256347;0.69829;0.303636;0.220919;0.704767;0.216939;0.758392;0.696697;0.237418;0.709478;0.200232;0.120512;0.763304;0.296417;0.13426;0.660497;0.144788;0.143961;0.106629;0.106151;0.716154;0.208349;0.71786;0.716744;0.284305;0.714749;0.0802789;0.101702;0.720577;0.217051;0.42923;0.709015;0.278768;0.711175;0.101316;0.271597;0.431973;0.126164;0.697152;0.123744;0.18332;0.66899;;;;;;;;;;
strain_57;0.887328;0.779064;0.670236;0.779377;0.755761;0.755125;0.75435;0.748504;0.752123;0.654814;0.591571;0.817403;0.652208;0.589941;0.650455;0.628221;0.6261;0.578911;0.642658;0.636996;0.470531;0.537297;0.780723;0.570207;0.538188;0.55408;0.553473;0.552375;0.578953;0.595048;0.464169;0.615225;0.611842;0.740506;0.576994;0.534646;0.547709;0.601256;0.580724;0.230918;0.600492;0.627304;0.579108;0.692137;0.808601;0.158275;0.489655;0.578421;0.441211;0.503828;0.564415;0.468822;;;;;;;;;
strain_58;0.429936;0.361463;0.534791;0.400023;0.398731;0.398033;0.504134;0.56303;0.50196;0.477939;0.497425;0.416322;0.475608;0.5743;0.474305;0.55714;0.564268;0.399462;0.524542;0.356395;0.35738;0.483049;0.377285;0.518741;0.450236;0.427912;0.426519;0.437129;0.436098;0.44198;0.463621;0.443894;0.442917;0.39746;0.441346;0.331277;0.267726;0.501877;0.367;0.285403;0.475265;0.338806;0.440797;0.32646;0.313338;0.292623;0.236324;0.464046;0.246324;0.337184;0.414832;0.242061;0.317227;;;;;;;;
strain_59;0.781434;0.839463;0.349954;0.734553;0.942803;0.942063;0.941102;0.91522;0.93805;0.90401;0.30103;0.741714;0.859316;0.324807;0.85294;0.285972;0.282655;0.795191;0.303375;0.759865;0.722947;0.251819;0.936943;0.757338;0.309618;0.767786;0.747228;0.766794;0.766029;0.255139;0.702703;0.255002;0.254375;0.732669;0.274025;0.823603;0.790881;0.253094;0.817403;0.481905;0.300881;0.797605;0.294811;0.836593;0.910508;0.409341;0.759584;0.289254;0.760104;0.720541;0.308717;0.689139;0.328116;0.510846;;;;;;;
strain_6;0.0563943;0.0340521;0.825637;0.0336648;0.0345896;0.0375046;0.0456351;0.0589898;0.0566984;0.0849934;0.819145;0.0371833;0.130525;0.829298;0.132256;0.832302;0.841596;0.141931;0.835858;0.170104;0.348557;0.835664;0.0273333;0.177671;0.830698;0.209145;0.223992;0.198078;0.286853;0.886587;0.425019;0.844217;0.913005;0.0162374;0.916105;0.456665;0.315655;0.858374;0.446619;0.86261;0.840421;0.36563;0.846157;0.457499;0.019272;0.720559;0.492926;0.856989;0.406697;0.370204;0.956369;0.305313;0.718283;0.365748;0.708923;;;;;;
strain_60;0.235193;0.253004;0.630456;0.247721;0.245258;0.242944;0.31135;0.371715;0.309136;0.295795;0.620589;0.226973;0.3616;0.686764;0.282341;0.679719;0.67806;0.311991;0.662755;0.224854;0.181366;0.671223;0.243479;0.288493;0.600163;0.191241;0.190604;0.227124;0.226315;0.646339;0.312192;0.645438;0.646994;0.220101;0.64263;0.150327;0.179942;0.659179;0.247165;0.533867;0.613453;0.188117;0.639724;0.0787635;0.200813;0.53755;0.030699;0.599776;0.020362;0.192915;0.59696;0.0666179;0.49967;0.205524;0.753193;0.186568;;;;;
strain_61;0.447155;0.432091;0.57006;0.44459;0.441817;0.441087;0.507734;0.577147;0.502035;0.480551;0.556038;0.434623;0.544757;0.614965;0.460746;0.611448;0.608171;0.494605;0.571375;0.405481;0.346182;0.579911;0.429773;0.452942;0.510064;0.363444;0.362392;0.398357;0.397024;0.557958;0.475223;0.557215;0.557765;0.415526;0.5543;0.318042;0.347636;0.563294;0.410122;0.638562;0.528243;0.351065;0.545738;0.23834;0.381282;0.634747;0.185453;0.514434;0.173256;0.333843;0.497289;0.212728;0.544201;0.307534;0.616517;0.371133;0.0949461;;;;
strain_7;0.056011;0.0365634;0.823542;0.0358684;0.036587;0.039286;0.0470103;0.059884;0.0574635;0.0852778;0.796629;0.0357664;0.130619;0.80696;0.132364;0.81033;0.819351;0.14206;0.813754;0.175673;0.342954;0.813888;0.0245561;0.17711;0.808878;0.209539;0.22378;0.195984;0.279953;0.885807;0.424811;0.843551;0.912306;0.0127744;0.915357;0.451545;0.33492;0.85777;0.441497;0.870697;0.83979;0.359935;0.845493;0.451812;0.015588;0.718932;0.486449;0.855271;0.40474;0.368522;0.954647;0.260777;0.716981;0.321374;0.662682;0.00191304;0.185383;0.369295;;;
strain_8;0.0415938;0.0325025;0.827818;0.0307909;0.030984;0.0332435;0.0402219;0.0392338;0.0499253;0.0875853;0.826418;0.0382539;0.134016;0.825772;0.137746;0.825204;0.850439;0.143703;0.84396;0.178215;0.348723;0.845316;0.0224347;0.162968;0.838826;0.208796;0.221764;0.195959;0.273457;0.894967;0.411831;0.85304;0.921705;0.0288782;0.924461;0.460323;0.602056;0.864799;0.450288;0.869164;0.847322;0.384416;0.853148;0.446145;0.0208678;0.719138;0.494993;0.868571;0.407689;0.386705;0.929108;0.337412;0.793565;0.453784;0.928047;0.0305744;0.234162;0.415139;0.0316459;;
strain_9;0.0842658;0.0464648;0.835449;0.0244318;0.0242482;0.0261685;0.0325561;0.0463357;0.0414312;0.0787356;0.818314;0.0576316;0.117813;0.827532;0.12111;0.828707;0.841014;0.127024;0.835353;0.174847;0.34316;0.835076;0.0539898;0.173564;0.828583;0.210907;0.210035;0.197983;0.275542;0.904684;0.420205;0.8623;0.930962;0.0464817;0.933711;0.448382;0.597305;0.874479;0.416099;0.844253;0.856136;0.330425;0.859745;0.441646;0.0411897;0.745376;0.456219;0.890379;0.396894;0.361836;0.990115;0.263736;0.728075;0.311115;0.907505;0.0240249;0.19467;0.372686;0.0245642;0.0373163;
